review_comment_message,texto_limpo,emocao_scores,nivel_satisfacao
O produto veio com defeito! Espero que não demore muito a troca pois foi comprada para presentear!,produto vir defeito esperar demore troca pois comprar presentear,"[('neutral', 0.7401295900344849)]",3.0
Não recebi,recebi,"[('neutral', 0.8067436814308167)]",3.0
Produto muito útil e ótima qualidade,produto útil ótimo qualidade,"[('admiration', 0.8051580786705017)]",3.0
Rapidez na entrega,rapidez entregar,"[('neutral', 0.7826178073883057)]",3.0
otimo!,otimo,"[('admiration', 0.7717522382736206)]",3.0
Cancelei o produto após a compra devido ao prazo de entrega ser 19 dias e chegar após o feriado de carnaval quando iria utiliza-lo,cancelei produto após compra devido prazo entregar dia chegar após feriado Carnaval ir utilizalo,"[('neutral', 0.7879332304000854)]",3.0
"A colcha que eu comprei vinha com 03 peças, e essa só veio 02 peças , 01 colcha ,e 01 porta travesseiro!então no caso ficou faltando o porta travesseiro!então eu aguardo uma resposta do vendedor ",colchar comprei vir peça vir peça colchar porta travesseiroentão caso ficar faltar porta travesseiroentão aguardo resposta vendedor,"[('neutral', 0.6098248362541199)]",3.0
Não chegou minha colcha,chegar colchar,"[('neutral', 0.821234941482544)]",3.0
o unico prolema q o produto não veio com manual de instruções,unico prolema q produto vir manual instrução,"[('neutral', 0.809904158115387)]",3.0
produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,produto qualidade eficiência entregar recebir antes combinar recomer,"[('neutral', 0.708688497543335)]",3.0
O relógio com pingente de coruja veio com defeito,relógio pingente coruja vir defeito,"[('neutral', 0.810005784034729)]",3.0
O produto não se parece sem um pouco com o da foto mas pra evitar aborrecimento resolvi ficar com esse mesmo ,produto parecer pouco foto pra evitar aborrecimento resolver ficar,"[('neutral', 0.8061633110046387)]",3.0
Produto de qualidade. Somente a entrega efetuada através dos Correios demorou mais de 30 dias.,produto qualidade somente entregar efetuar através correios demorar dia,"[('neutral', 0.7253579497337341)]",3.0
ainda nao recebi meu produto estou aguardando,ainda nao recebi produto aguardar,"[('neutral', 0.5757250189781189)]",3.0
Parabéns pela agilidade,parabéns agilidader,"[('gratitude', 0.5166970491409302)]",3.0
Produto veio exatamente como o pedido e bem antes do prazo. Recomendo,produto vir exatamente pedir bem antes prazo recomendar,"[('neutral', 0.8140031099319458)]",3.0
Loja nota 10!!!,lojar noto,"[('neutral', 0.8308108448982239)]",3.0
"Produto perfeito, entrege dentro do prazo.",produto perfeito Entrege dentro prazo,"[('admiration', 0.43219947814941406)]",3.0
Recebi o produto na data programada. É fácil de montar e muito prático para pendurar roupas e sapatos. Só que aguenta uma quantidade pequena de roupas. ,recebi produto datar programar fácil montar prático pendurar roupa sapato aguentar quantidade pequeno roupa,"[('neutral', 0.8100873231887817)]",3.0
Adorei o relogio muito bem embalado.,adorar relogio bem embalar,"[('love', 0.7574872970581055)]",5.0
Entrega no prazo e produto perfeito,entregar prazo produto perfeito,"[('admiration', 0.445058137178421)]",3.0
Sem comentários.,comentário,"[('neutral', 0.7059262990951538)]",3.0
"muito boa compra, preço bom, entrega rapida.",bom compra preço bom entrega rapir,"[('admiration', 0.7809225916862488)]",3.0
"O jogo de bolas de bilhar que comprei é totalmente diferente do que foi entregue, sendo diferente, a cor, material e diâmetro da bola. Quanto ao recebimento do dinheiro de volta? Como devo proceder?",jogo bola bilhar comprei totalmente diferente entregar ser diferente cor material diâmetro bola quanto recebimento dinheiro voltar dever proceder,"[('neutral', 0.8127580285072327)]",3.0
"Faltou a nota fiscal que não chegou com o produto ,e nao esta no email, que informa 
 que já foi emitida ,e não recebi de maneira nem uma , fico no aguardo ...",faltar nota fiscal chegar produto nao email informar emitir recebi maneira fico aguardo,"[('neutral', 0.5839095711708069)]",3.0
"Encomendei uma lona e recebi um ursinho e uma caneca cujo destinatário, conforme nota fiscal, seria Ana Maria Pires Queiroz.
Já fiz duas notificações via site da loja e não recebi o retorno. ",encomendei lona recebi ursinho canecar cujo destinatário conforme nota fiscal ano Maria Pires queiroz fiz dois notificação ver site loja recebi retorno,"[('neutral', 0.8186725974082947)]",3.0
"Alguns pinceis veio soltando as cerdas 
",algum pincel vir soltar cerr,"[('neutral', 0.8249879479408264)]",3.0
Ótimo produto,bom produto,"[('admiration', 0.7928832173347473)]",3.0
Nao gostei de compra essa loja ,nao gostar compra lojar,"[('neutral', 0.4706017076969147)]",3.0
Foi inacreditável qdo fui atender ao chamado do correio. Tínhamos um prazo de até 20/08 para o recebimento. Chegou em 3 dias. Parabéns!,inacreditável qdo atender chamar correio prazo recebimento chegar dia parabéns,"[('admiration', 0.5585075616836548)]",3.0
ótima relação custo benefício,ótimo relação custo benefício,"[('admiration', 0.777804970741272)]",3.0
O zíper veio com defeito.,zíper vir defeito,"[('neutral', 0.8080597519874573)]",3.0
O produto chegou dentro do prazo e especificações previstos.,produto chegar dentro prazo especificação prever,"[('neutral', 0.8196892738342285)]",3.0
Não veio o mesmo filtro da imagem que comprei.,vir filtro imagem comprei,"[('neutral', 0.8311692476272583)]",3.0
Gostei do atendimento porém recebi apenas uma unidade das duas compradas aguardo solução do problema obrigado,gostar atendimento porém recebi apenas unidade dois comprada aguardo solução problema obrigar,"[('neutral', 0.1376512348651886)]",3.0
O produto não foi entregue.Preciso de ajuda para resolver esse problema.,produto entreguepreciso ajudar resolver problema,"[('neutral', 0.27027595043182373)]",3.0
"Eles não entrega 
Péssima loja 
Não recomendo 
Quero meu dinheiro de volta 
",entregar péssimo loja recomer querer dinheiro voltar,"[('neutral', 0.39476820826530457)]",3.0
"Produto chegou bem antes do prazo , gostei muito da empresa .",produto chegar bem antes prazo gostar empresa,"[('neutral', 0.4099603295326233)]",3.0
Recebi o meu produto bem antes do prazo estipulado. O relógio é lindo e me pareceu um produto de boa qualidade... Amei!,recebi produto bem antes prazo estipular relógio lir parecer produto bom qualidade amei,"[('admiration', 0.6607773303985596)]",3.0
demorou demais para me avisar que o produto está indisponível!!!,demorar demais avisar produto indisponível,"[('neutral', 0.740297794342041)]",3.0
Produto maravilhoso!! entrega antes do prazo.,produto maravilhoso entregar antes prazo,"[('admiration', 0.8118791580200195)]",3.0
Desejo que essa amizade de compra e satisfação perdure,desejo amizade compra satisfação perdure,"[('neutral', 0.4111105799674988)]",3.0
"o produto foi entregue antes do prazo , produto de ótima qualidade",produto entregar antes prazo produto ótima qualidade,"[('admiration', 0.7552405595779419)]",3.0
Otima loja,otimo loja,"[('admiration', 0.7802930474281311)]",3.0
"Gostei do produto, porém a entrega atrasou... muito. Tratava-se de um presente de casamento, e a entrega ocorreu além da data prevista, o que gerou desconforto pela situação. Lamentável.",gostar produto porém entregar atrasar tratavase presente casamento entregar ocorrer além data prever gerar desconforto situação lamentável,"[('neutral', 0.2521194517612457)]",3.0
"Produto de qualidade, tal como nas fotos, somente o soquete na ficha técnica está descrito como E14 e o que foi entregue e E27.",produto qualidade tal foto somente soquete ficha técnico descrito entregar,"[('neutral', 0.8258345127105713)]",3.0
"muito bom me entregaram em (02) dias .
tudo perfeito, o produto e a entrega 
muito satisfeito.",bom entregar dia tudo perfeito produto entregar satisfeito,"[('admiration', 0.8156155347824097)]",3.0
Recebido e antes do prazo...,receber antes prazo,"[('neutral', 0.8097344636917114)]",3.0
Eu recomendo ! No momento não tenho nada contra .,recomendar momento nada contra,"[('neutral', 0.8048068284988403)]",3.0
muito bom,bom,"[('admiration', 0.7624117732048035)]",3.0
Fiquei satisfeita com a compra e com a rapidez da entrega. Obrigada ,fiquei satisfeito compra rapidez entrego obrigar,"[('neutral', 0.19371360540390015)]",3.0
Solicitei 2 Cartuchos HP 662 XL PRETO e veio COLORIDO ????. Deixa para lá. Já tive MUITOS problemas com a lannister. É melhor esperar a entrega dos outros produtos solicitados e acabar com isso.,solicitar cartucho hp xl preto vir colorir deixar lá muito problema lannister bom esperar entregar outro produto solicitar acabar,"[('neutral', 0.692446231842041)]",3.0
exelente,exelente,"[('admiration', 0.7957709431648254)]",3.0
Entrega no prazo,entregar prazo,"[('neutral', 0.8031392693519592)]",3.0
Adorei ,adorar,"[('love', 0.7301025390625)]",5.0
"Loja séria com seus compromissos, entrega rápida.
Excelente loja para se comprar.",loja sério compromisso entregar rápido excelente loja comprar,"[('admiration', 0.7714980840682983)]",3.0
"Poderiam treceirizar as entregas, porque meu pedido foi pelos correios . Não sei já estão. Obrigada. ",poder treceirizar entrega porque pedir Correios saber obrigado,"[('gratitude', 0.5888044834136963)]",3.0
Ótimo recomendo é ótimo,bom recomendo ótimo,"[('admiration', 0.822944164276123)]",3.0
"Gostei do produto, só o som do boneco que já falhando... Com menos de 15 duas de uso... 
",gostar produto som boneco falhar menos dois uso,"[('neutral', 0.7708718180656433)]",3.0
